osm_id,wikidata,name,MS_FB,MS_FB_PARE
1335179,Q62823,Barranquilla,country:co/departamento:atl/city:baranquilla,country:co/departamento:atl
1320707,Q51103,Santiago de Cali,country:co/departamento:vac/city:cali,country:co/departamento:vac
1343264,Q48278,Medellín,country:co/departamento:ant/city:medellin,country:co/departamento:ant
1343457,Q657461,Cartagena de Indias,country:co/departamento:bol/city:cartagena,country:co/departamento:bol
