id,ISO3166-2,name,WIKIDATA,state_code,MS_FB,MS_FB_PARE
relation/396705,CO-CAL,Caldas,Q51091020,CAL,country:co/constituency:cal,country:co
relation/1303962,CO-AMA,Amazonas,Q51091051,AMA,country:co/constituency:ama,country:co
relation/1305166,CO-MET,Meta,Q51091041,MET,country:co/constituency:met,country:co
relation/1305533,CO-CUN,Cundinamarca,Q51091025,CUN,country:co/constituency:cun,country:co
relation/1309495,CO-TOL,Tolima,Q51091030,TOL,country:co/constituency:tol,country:co
relation/1315120,CO-ANT,Antioquia,Q51090993,ANT,country:co/constituency:ant,country:co
relation/1315209,CO-ATL,Atlántico,Q51091022,ATL,country:co/constituency:atl,country:co
relation/1316581,CO-BOL,Bolívar,Q51091016,BOL,country:co/constituency:bol,country:co
relation/1317223,CO-CES,Cesar,Q51091034,CES,country:co/constituency:ces,country:co
relation/1319097,CO-MAG,Magdalena,Q51091007,MAG,country:co/constituency:mag,country:co
relation/1320759,CO-SUC,Sucre,Q51091038,SUC,country:co/constituency:suc,country:co
relation/1321032,CO-COR,Córdoba,Q51091033,COR,country:co/constituency:cor,country:co
relation/1321379,CO-LAG,La Guajira,Q51091047,LAG,country:co/constituency:lag,country:co
relation/1322131,CO-CHO,Chocó,Q51091015,CHO,country:co/constituency:cho,country:co
relation/1322825,CO-VAC,Valle del Cauca,Q51091000,VAC,country:co/constituency:vac,country:co
relation/1324192,CO-NSA,Norte de Santander,Q51091028,NSA,country:co/constituency:nsa,country:co
relation/1331230,CO-QUI,Quindío,Q51091005,QUI,country:co/constituency:qui,country:co
relation/1357098,CO-VID,Vichada,Q51091046,VID,country:co/constituency:vid,country:co
relation/1359366,CO-VAU,Vaupés,Q51091032,VAU,country:co/constituency:vau,country:co
relation/1372374,CO-SAN,Santander,Q51091037,SAN,country:co/constituency:san,country:co
relation/1374221,CO-RIS,Risaralda,Q51091003,RIS,country:co/constituency:ris,country:co
relation/1375357,CO-PUT,Putumayo,Q51091026,PUT,country:co/constituency:put,country:co
relation/1380130,CO-NAR,Nariño,Q51091010,NAR,country:co/constituency:nar,country:co
relation/1380540,CO-GUV,Guaviare,Q51091049,GUV,country:co/constituency:guv,country:co
relation/1385038,CO-GUA,Guainía,Q51091043,GUA,country:co/constituency:gua,country:co
relation/1387968,CO-DC,Bogotá ,Q51091052,DC,country:co/constituency:dc,country:co
relation/1388045,CO-ARA,Arauca,Q51091013,ARA,country:co/constituency:ara,country:co
relation/1390144,CO-BOY,Boyacá,Q51090991,BOY,country:co/constituency:boy,country:co
relation/1392025,CO-CAS,Casanare,Q51090995,CAS,country:co/constituency:cas,country:co
relation/1392085,CO-CAU,Cauca,Q51091018,CAU,country:co/constituency:cau,country:co
relation/1394843,CO-CAQ,Caquetá,Q51090996,CAQ,country:co/constituency:caq,country:co
relation/1396291,CO-HUI,Huila,Q51091036,HUI,country:co/constituency:hui,country:co
relation/2181889,CO-SAP,"Archipiélago de San Andrés, Providencia y Santa Catalina",Q51091044,SAP,country:co/constituency:sap,country:co
